2026-03-17T20:01:08.600915 | frame=116 | x=396 y=322 | area=1956
2026-03-17T20:01:09.101876 | frame=116 | x=396 y=322 | area=1956
2026-03-17T20:01:09.627671 | frame=29 | x=355 y=252 | area=605
2026-03-17T20:01:10.133248 | frame=29 | x=355 y=252 | area=605
2026-03-17T20:01:10.661797 | frame=48 | x=356 y=244 | area=517
2026-03-17T20:01:11.166014 | frame=48 | x=356 y=244 | area=517
2026-03-17T20:01:11.691935 | frame=53 | x=342 y=236 | area=511
2026-03-17T20:01:12.193334 | frame=53 | x=342 y=236 | area=511
2026-03-17T20:01:12.719638 | frame=56 | x=337 y=190 | area=648
2026-03-17T20:01:13.220743 | frame=56 | x=337 y=190 | area=648
2026-03-17T20:01:13.747510 | frame=58 | x=336 y=227 | area=648
2026-03-17T20:01:14.253095 | frame=58 | x=336 y=227 | area=648
2026-03-17T20:01:14.777524 | frame=59 | x=338 y=180 | area=603
2026-03-17T20:01:15.278091 | frame=59 | x=338 y=180 | area=603
2026-03-17T20:01:15.804841 | frame=68 | x=339 y=220 | area=694
2026-03-17T20:01:16.307036 | frame=68 | x=339 y=220 | area=694
2026-03-17T20:01:16.836043 | frame=77 | x=328 y=222 | area=741
2026-03-17T20:01:17.345234 | frame=77 | x=328 y=222 | area=741
2026-03-17T20:01:17.874049 | frame=81 | x=330 y=223 | area=660
2026-03-17T20:01:18.379448 | frame=81 | x=330 y=223 | area=660
2026-03-17T20:01:18.906495 | frame=85 | x=331 y=219 | area=557
2026-03-17T20:01:19.409887 | frame=85 | x=331 y=219 | area=557
2026-03-17T20:01:19.938183 | frame=87 | x=331 y=219 | area=503
2026-03-17T20:01:20.440193 | frame=87 | x=331 y=219 | area=503
2026-03-17T20:01:20.970200 | frame=88 | x=331 y=221 | area=508
2026-03-17T20:01:21.475561 | frame=88 | x=331 y=221 | area=508
2026-03-17T20:01:22.005813 | frame=89 | x=331 y=219 | area=524
2026-03-17T20:01:22.511175 | frame=89 | x=331 y=219 | area=524
2026-03-17T20:01:23.040245 | frame=90 | x=331 y=221 | area=535
2026-03-17T20:01:23.545722 | frame=90 | x=331 y=221 | area=535
2026-03-17T20:01:24.072405 | frame=91 | x=331 y=224 | area=527
2026-03-17T20:01:24.573613 | frame=91 | x=331 y=224 | area=527
2026-03-17T20:01:25.100319 | frame=96 | x=331 y=222 | area=559
2026-03-17T20:01:25.601445 | frame=96 | x=331 y=222 | area=559
2026-03-17T20:01:26.131024 | frame=52 | x=341 y=219 | area=614
2026-03-17T20:01:26.633981 | frame=52 | x=341 y=219 | area=614
2026-03-17T20:01:27.164312 | frame=75 | x=370 y=225 | area=543
2026-03-17T20:01:27.669687 | frame=75 | x=370 y=225 | area=543
2026-03-17T20:01:28.199440 | frame=102 | x=364 y=238 | area=562
2026-03-17T20:01:28.702701 | frame=102 | x=364 y=238 | area=562
2026-03-17T20:01:29.231756 | frame=112 | x=364 y=219 | area=665
2026-03-17T20:01:29.734079 | frame=112 | x=364 y=219 | area=665
2026-03-17T20:01:30.260558 | frame=113 | x=364 y=228 | area=566
2026-03-17T20:01:30.766234 | frame=113 | x=364 y=228 | area=566
2026-03-17T20:01:31.296817 | frame=81 | x=320 y=246 | area=1173
2026-03-17T20:01:31.802248 | frame=81 | x=320 y=246 | area=1173
2026-03-17T20:01:32.331847 | frame=85 | x=324 y=331 | area=762
2026-03-17T20:01:32.835102 | frame=85 | x=324 y=331 | area=762
2026-03-17T20:01:33.361792 | frame=86 | x=313 y=321 | area=741
2026-03-17T20:01:33.862517 | frame=86 | x=313 y=321 | area=741
2026-03-17T20:01:34.390114 | frame=87 | x=311 y=245 | area=729
2026-03-17T20:01:34.895656 | frame=87 | x=311 y=245 | area=729
2026-03-17T20:01:35.421022 | frame=88 | x=311 y=249 | area=811
2026-03-17T20:01:35.923583 | frame=88 | x=311 y=249 | area=811
2026-03-17T20:01:36.452428 | frame=89 | x=310 y=310 | area=814
