2026-03-18 13:09:11,817 [INFO] processor: Process state registered: processor
2026-03-18 13:09:11,817 [INFO] processor: ProcessorProcess initializing...
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 53], upper=[100, 100, 255]
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 60], upper=[100, 100, 255]
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 68], upper=[100, 100, 255]
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 75], upper=[100, 100, 255]
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 83], upper=[100, 100, 255]
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 90], upper=[100, 100, 255]
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 94], upper=[100, 100, 255]
2026-03-18 17:20:44,960 [INFO] processor: Color range set: lower=[0, 0, 98], upper=[100, 100, 255]
2026-03-18 17:20:44,960 [INFO] processor: Color range set: lower=[0, 0, 94], upper=[100, 100, 255]
2026-03-18 17:20:44,960 [INFO] processor: Color range set: lower=[0, 0, 90], upper=[100, 100, 255]
2026-03-18 17:20:44,960 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 255]
2026-03-18 17:20:44,960 [INFO] processor: Color range set: lower=[0, 0, 83], upper=[100, 100, 255]
2026-03-18 17:20:44,960 [INFO] processor: Color range set: lower=[0, 0, 79], upper=[100, 100, 255]
2026-03-18 17:23:36,850 [INFO] processor: Process state registered: processor
2026-03-18 17:23:36,850 [INFO] processor: ProcessorProcess initializing...
2026-03-18 17:23:36,850 [INFO] processor: ProcessorProcess ready: color_lower=[0, 0, 150], color_upper=[100, 100, 255], min_area=500, max_area=50000
2026-03-18 17:23:36,850 [INFO] processor: Registered 8 command(s) with router: ['get_metrics', 'get_metric', 'reset_metrics', 'stats_snapshot', 'flush_stats', 'set_color_range', 'set_min_area', 'set_max_area']
2026-03-18 17:23:36,850 [INFO] processor: Process 'processor' initialized successfully
2026-03-18 20:18:42,139 [INFO] processor: Process state registered: processor
2026-03-18 20:18:42,139 [INFO] processor: ProcessorProcess initializing...
2026-03-18 20:18:42,139 [INFO] processor: ProcessorProcess ready: color_lower=[0, 0, 150], color_upper=[100, 100, 255], min_area=500, max_area=50000
2026-03-18 20:18:42,139 [INFO] processor: Registered 8 command(s) with router: ['get_metrics', 'get_metric', 'reset_metrics', 'stats_snapshot', 'flush_stats', 'set_color_range', 'set_min_area', 'set_max_area']
2026-03-18 20:18:42,139 [INFO] processor: Process 'processor' initialized successfully
2026-03-18 20:18:49,120 [INFO] processor: Color range set: lower=[0, 0, 118], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 115], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 112], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 110], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 107], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 104], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 99], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 85], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 80], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 74], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 69], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 66], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 63], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 60], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 58], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 52], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 49], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 47], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 41], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 38], upper=[100, 100, 255]
2026-03-18 20:18:49,170 [INFO] processor: Color range set: lower=[0, 0, 36], upper=[100, 100, 255]
2026-03-18 20:18:50,170 [INFO] processor: Color range set: lower=[0, 0, 33], upper=[100, 100, 255]
2026-03-18 20:18:50,176 [INFO] processor: Color range set: lower=[0, 0, 36], upper=[100, 100, 255]
2026-03-18 20:18:50,176 [INFO] processor: Color range set: lower=[0, 0, 38], upper=[100, 100, 255]
2026-03-18 20:18:50,176 [INFO] processor: Color range set: lower=[0, 0, 41], upper=[100, 100, 255]
2026-03-18 20:18:50,176 [INFO] processor: Color range set: lower=[0, 0, 47], upper=[100, 100, 255]
